age,avg_num_friends
18,343.38
19,213.27
20,165.0
21,350.88
22,206.43
23,246.3
24,233.8
25,197.45
26,242.06
27,228.13
28,209.1
29,215.92
30,235.82
31,267.25
32,207.91
33,325.33
34,245.5
35,211.63
36,246.6
37,249.33
38,193.53
39,169.29
40,250.82
41,268.56
42,303.5
43,230.57
44,282.17
45,309.54
46,223.69
47,233.22
48,281.4
49,184.67
50,254.6
51,302.14
52,340.64
53,222.86
54,278.08
55,295.54
56,306.67
57,258.83
58,116.55
59,220.0
60,202.71
61,256.22
62,220.77
63,384.0
64,281.33
65,298.2
66,276.44
67,214.63
68,269.6
69,235.2
