movieID,ratings_count,avg_rating,Title
296,307,4.2,Pulp Fiction (1994)
1090,63,3.98,Platoon (1986)
115713,28,3.91,Ex Machina (2015)
3210,42,3.48,Fast Times at Ridgemont High (1982)
88140,32,3.55,Captain America: The First Avenger (2011)
829,9,2.67,Joe's Apartment (1996)
2088,18,2.5,Popeye (1980)
2294,45,3.24,Antz (1998)
4821,5,3.1,Joy Ride (2001)
48738,20,3.98,"Last King of Scotland, The (2006)"
3959,8,3.63,"Time Machine, The (1960)"
89864,19,3.63,50/50 (2011)
2136,14,2.46,"Nutty Professor, The (1963)"
691,3,3.33,Mrs. Winterbourne (1996)
3606,4,3.75,On the Town (1949)
121007,1,4.0,Space Buddies (2009)
6731,8,3.63,Day of the Dead (1985)
27317,6,3.75,Audition (Ôdishon) (1999)
26082,3,4.5,Harakiri (Seppuku) (1962)
100553,2,4.5,Frozen Planet (2011)
120478,3,4.33,The Salt of the Earth (2014)
173535,1,4.5,The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980)
85022,4,3.13,Hall Pass (2011)
158813,4,2.0,Alice Through the Looking Glass (2016)
7762,4,3.63,"Tinker, Tailor, Soldier, Spy (1979)"
2162,8,2.5,"NeverEnding Story II: The Next Chapter, The (1990)"
4032,1,4.0,"Everlasting Piece, An (2000)"
5325,7,3.79,Dogtown and Z-Boyz (2001)
50802,3,3.0,Because I Said So (2007)
102684,2,3.75,Only God Forgives (2013)
2069,2,4.25,"Trip to Bountiful, The (1985)"
112911,4,2.0,Hercules (2014)
5925,2,2.0,"Beast Within, The (1982)"
1572,2,3.0,"Contempt (Mépris, Le) (1963)"
119655,2,2.25,Seventh Son (2014)
3414,1,4.0,Love Is a Many-Splendored Thing (1955)
95519,1,4.0,Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993)
117630,1,1.0,Double Trouble (1992)
467,1,5.0,Live Nude Girls (1995)
3441,14,3.43,Red Dawn (1984)
58559,149,4.24,"Dark Knight, The (2008)"
125,12,3.58,Flirting With Disaster (1996)
800,19,4.16,Lone Star (1996)
8965,11,3.14,"Polar Express, The (2004)"
33004,44,3.42,"Hitchhiker's Guide to the Galaxy, The (2005)"
33615,40,3.38,Madagascar (2005)
1372,42,3.35,Star Trek VI: The Undiscovered Country (1991)
1394,58,3.99,Raising Arizona (1987)
2110,18,3.31,Dead Men Don't Wear Plaid (1982)
2393,33,3.15,Star Trek: Insurrection (1998)
3826,39,2.29,Hollow Man (2000)
103819,2,2.25,Coffee Town (2013)
65682,7,3.64,Underworld: Rise of the Lycans (2009)
4975,44,3.42,Vanilla Sky (2001)
7743,2,3.5,Explorers (1985)
5023,2,4.0,"Waterdance, The (1992)"
74698,3,2.17,Tooth Fairy (2010)
106594,1,4.5,Red Flag (2012)
139640,1,5.0,Ooops! Noah is Gone... (2015)
7650,3,2.0,"Witchfinder General (Conquerer Worm, The) (1968)"
3858,5,3.5,Cecil B. DeMented (2000)
179817,3,3.83,Darkest Hour (2017)
5523,3,2.33,"Adventures of Pluto Nash, The (2002)"
26686,3,1.5,Ghost Dad (1990)
90439,7,3.79,Margin Call (2011)
7362,4,3.25,Taking Lives (2004)
50800,2,2.5,"Messengers, The (2007)"
3015,3,3.67,Coma (1978)
3368,2,3.25,"Big Country, The (1958)"
944,3,4.0,Lost Horizon (1937)
6558,3,2.33,Curly Sue (1991)
2275,5,3.6,Six-String Samurai (1998)
65631,1,4.0,Battle in Seattle (2007)
7328,1,3.5,"Passion of Anna, The (Passion, En) (1969)"
32392,1,2.5,800 Bullets (800 Balas) (2002)
6797,1,3.0,Bugsy (1991)
89427,1,1.5,Shark Night 3D (2011)
106542,1,1.5,Charlie Countryman (2013)
133281,1,2.0,Ricki and the Flash (2015)
27563,3,4.33,"Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001)"
451,1,4.0,Flesh and Bone (1993)
3281,1,2.0,"Brandon Teena Story, The (1998)"
131739,1,3.0,Batman vs. Robin (2015)
5613,3,3.83,8 Women (2002)
5657,1,4.5,Flashback (1990)
8092,1,3.0,Frankenstein Unbound (1990)
66915,1,2.0,Rock-A-Doodle (1991)
919,92,3.88,"Wizard of Oz, The (1939)"
1265,143,3.94,Groundhog Day (1993)
2700,76,3.86,"South Park: Bigger, Longer and Uncut (1999)"
3949,96,3.92,Requiem for a Dream (2000)
5181,2,4.5,Hangar 18 (1980)
137595,1,4.0,Magic Mike XXL (2015)
2898,1,2.0,"Dark Half, The (1993)"
3526,15,3.7,Parenthood (1989)
73858,1,1.5,"Dennis the Menace Christmas, A (2007)"
167036,4,3.75,Sing (2016)
2530,18,2.78,Beneath the Planet of the Apes (1970)
3836,15,4.13,Kelly's Heroes (1970)
7263,10,3.35,Miracle (2004)
33558,1,3.0,"Snow Walker, The (2003)"
1361,6,4.08,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
1280,9,4.33,Raise the Red Lantern (Da hong deng long gao gao gua) (1991)
2917,10,4.0,Body Heat (1981)
8832,2,3.25,Warriors of Heaven and Earth (Tian di ying xiong) (2003)
27020,5,3.4,Gia (1998)
926,24,4.23,All About Eve (1950)
52967,4,3.63,Away from Her (2006)
44777,1,4.5,Evil Aliens (2005)
120813,1,4.5,Patton Oswalt: My Weakness Is Strong (2009)
1241,10,4.05,Dead Alive (Braindead) (1992)
4850,4,3.38,Spriggan (Supurigan) (1998)
5316,7,3.14,Enigma (2001)
63479,4,3.63,Sex Drive (2008)
136598,6,3.42,Vacation (2015)
69306,6,3.17,"Taking of Pelham 1 2 3, The (2009)"
3200,8,4.25,"Last Detail, The (1973)"
2696,3,4.33,"Dinner Game, The (Dîner de cons, Le) (1998)"
161922,2,3.25,The Edge of Seventeen (2016)
870,2,1.0,Gone Fishin' (1997)
7056,2,4.25,"Public Enemy, The (1931)"
1746,1,2.0,Senseless (1998)
140627,1,5.0,Battle For Sevastopol (2015)
100277,1,4.0,Tabu (2012)
128900,1,4.5,The Natural Love (1996)
3838,1,2.0,Phantasm III: Lord of the Dead (1994)
7301,3,3.5,Diary of a Country Priest (Journal d'un curé de campagne) (1951)
7208,2,3.75,Dr. Jekyll and Mr. Hyde (1941)
1870,1,3.0,"Dancer, Texas Pop. 81 (1998)"
7248,1,3.5,"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)"
49280,3,3.83,Bobby (2006)
70862,2,3.75,It Might Get Loud (2008)
90343,2,2.75,Footloose (2011)
95744,1,2.5,2 Days in New York (2012)
118512,1,1.5,Bring It On: In It To Win It (2007)
149612,1,2.0,Swelter (2014)
151745,1,0.5,Reptilicus (1961)
